Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
All Demo,Chrome 125.0.0.0,,,13-06-2024 12:15:41,13-06-2024 12:20:18,4m - 37.458s,FAILED
,,,,,,,
Test Cases/Kalasalingam university/Campus,Chrome 125.0.0.0,,,13-06-2024 12:15:41,13-06-2024 12:15:41,0.216s,PASSED
return null,Chrome 125.0.0.0,,,13-06-2024 12:15:41,13-06-2024 12:15:41,0.002s,PASSED
,,,,,,,
Test Cases/Kalasalingam university/Placement,Chrome 125.0.0.0,,,13-06-2024 12:16:20,13-06-2024 12:16:33,12.974s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 12:16:20,13-06-2024 12:16:23,3.624s,PASSED
"navigateToUrl(""https://kalasalingam.ac.in/placement/"")",Chrome 125.0.0.0,,,13-06-2024 12:16:23,13-06-2024 12:16:29,5.766s,PASSED
"click(findTestObject(""Object Repository/Placement/Page_Placement  Top 10 Best Private Univers_6135c3/img""))",Chrome 125.0.0.0,,,13-06-2024 12:16:29,13-06-2024 12:16:33,3.358s,PASSED
acceptAlert(),Chrome 125.0.0.0,,,13-06-2024 12:16:33,13-06-2024 12:16:33,0.206s,FAILED
,,,,,,,
Test Cases/Kalasalingam university/Research,Chrome 125.0.0.0,,,13-06-2024 12:16:33,13-06-2024 12:16:33,0.011s,PASSED
return null,Chrome 125.0.0.0,,,13-06-2024 12:16:33,13-06-2024 12:16:33,0.000s,PASSED
,,,,,,,
Test Cases/Theni Kammavar/Academics,Chrome 125.0.0.0,,,13-06-2024 12:16:33,13-06-2024 12:16:50,17.375s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 12:16:33,13-06-2024 12:16:35,2.223s,PASSED
"navigateToUrl(""https://www.tksct.in/admissions"")",Chrome 125.0.0.0,,,13-06-2024 12:16:35,13-06-2024 12:16:41,5.903s,PASSED
"click(findTestObject(""Object Repository/Admissions tks/Page_Admissions/path""))",Chrome 125.0.0.0,,,13-06-2024 12:16:41,13-06-2024 12:16:47,6.212s,PASSED
"click(findTestObject(""Object Repository/Admissions tks/Page_Admissions/div_S  H_Qz5ULw""))",Chrome 125.0.0.0,,,13-06-2024 12:16:47,13-06-2024 12:16:48,0.529s,PASSED
"click(findTestObject(""Object Repository/Admissions tks/Page_Admissions/div_World Mental Health Day_Qz5ULw""))",Chrome 125.0.0.0,,,13-06-2024 12:16:48,13-06-2024 12:16:49,0.745s,PASSED
"click(findTestObject(""Object Repository/Admissions tks/Page_E-Journal  My Site/div_World Mental Health Day_Qz5ULw""))",Chrome 125.0.0.0,,,13-06-2024 12:16:49,13-06-2024 12:16:50,0.982s,PASSED
"click(findTestObject(""Object Repository/Admissions tks/Page_E-Journal  My Site/div_S  H_Qz5ULw""))",Chrome 125.0.0.0,,,13-06-2024 12:16:50,13-06-2024 12:16:50,0.390s,PASSED
"click(findTestObject(""Object Repository/Admissions tks/Page_Library  My Site/div_World Mental Health Day_Qz5ULw""))",Chrome 125.0.0.0,,,13-06-2024 12:16:50,13-06-2024 12:16:50,0.292s,PASSED
,,,,,,,
Test Cases/Theni Kammavar/Admission,Chrome 125.0.0.0,,,13-06-2024 12:16:50,13-06-2024 12:16:50,0.014s,PASSED
return null,Chrome 125.0.0.0,,,13-06-2024 12:16:50,13-06-2024 12:16:50,0.000s,PASSED
,,,,,,,
Test Cases/Theni Kammavar/Home Page,Chrome 125.0.0.0,,,13-06-2024 12:19:27,13-06-2024 12:20:18,51.459s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 12:19:27,13-06-2024 12:19:29,2.394s,PASSED
"navigateToUrl(""https://www.tksct.in/admissions"")",Chrome 125.0.0.0,,,13-06-2024 12:19:29,13-06-2024 12:19:36,7.483s,PASSED
"click(findTestObject(""Object Repository/Admission tksct/Page_Admissions/div_S  H_Qz5ULw""))",Chrome 125.0.0.0,,,13-06-2024 12:19:36,13-06-2024 12:19:41,4.246s,PASSED
"click(findTestObject(""Object Repository/Admission tksct/Page_Admissions/div_S  H_Qz5ULw""))",Chrome 125.0.0.0,,,13-06-2024 12:19:41,13-06-2024 12:19:42,1.328s,PASSED
"click(findTestObject(""Object Repository/Admission tksct/Page_Admissions/div_World Mental Health Day_Qz5ULw""))",Chrome 125.0.0.0,,,13-06-2024 12:19:42,13-06-2024 12:20:18,35.983s,FAILED
